,,,,,,,,,,,,,,,,,TYPES [of each statement],,,Top 6 Representations
,,,,,,,,,,,,,,,,,Elaboration - the current statement is an extension and elaboration of another statement,,,
,,,,,,,,,Type,Relation,format [#<relation>-<Reqno>],,,,,,Condition - the statement is a presenting a condition on which another statement bases its action on ,,,
REQ_0001,1 Introduction,,,,,,,,Context,NONE,,,,,,,Consequence - the action to be taken based on a previous condition,,,
REQ_0002,2 General Description,,,,,,,,Context,NONE,,,,,,,Constraint - a statement which establishes bounds to the system,,,
REQ_0003,,2.1 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,Action - a statement which established what needs to be done,,,
REQ_0004,,2.2 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,Context - Scoping statement; not strictly a requirement type but provides scope,,,
REQ_0005,,2.3 <Not in the Scope>,,,,,,,Context,NONE,,,,,,, ,,,
REQ_0006,,2.4 <Not in the Scope>,,,,,,,Context,NONE,,,,,,, ,,,
REQ_0007,,2.5 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,RELATIONS [between two statements],,,
REQ_0008,,2.6 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,Unrelated - the statements are unrelated,,,
REQ_0009,,2.7 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,Parallel - the two statements are considered at the same time,,,
REQ_0010,,2.8 <Not in the Scope>,,,,,,,Context,NONE,,,,,,,Series - the current statement is considered on after another statement,,,
REQ_0011,,2.9 General Software Requirements,,,,,,,Context,#subordinate-REQ_0002,,,,,,,Subordinate - current statement is below the other statement,,,
REQ_0012,,,2.9.1 Control Information Flow,,,,,,Context,#subordinate-REQ_0011,,,,,,,Superior - Current statement is above the other statement,,,
REQ_0013,,,,"These requirements apply to the commands and replies between sub-systems (including status information requests and replies), information flow to and from on-line databases,and commands and software for the IOCs.",,,,,Elaboration,#subordinate-REQ_0012,,,,,,,superior is not used as it might be redundant,,,
REQ_0014,,,,- Requirements,,,,,Context,#subordinate-REQ_0012,,,,,,,NONE,,,
